policy_year,cap,training_path_count,condition_number,reachable_component_clip_fraction,fit_action_retained,fit_reasons,selected_policy_class,uses_all_paths,oos
11,0.05,207,7.326088882590948,0.0033333333333333335,True,[],base_csm,True,False
11,0.06,192,9.292152760098526,0.002380952380952381,True,[],base_csm,True,False
11,0.07,200,9.053600697073707,0.002857142857142857,True,[],base_csm,True,False
11,0.08,190,12.843364956312751,0.0011904761904761906,True,[],base_csm,True,False
11,0.09,198,14.504578054592617,0.002380952380952381,True,[],base_csm,True,False
11,0.1,199,13.07846765414544,0.0011904761904761906,True,[],base_csm,True,False
11,0.11,208,20.118199434109385,0.0016666666666666668,True,[],base_csm,True,False
11,0.12,202,23.752705757441763,0.0014285714285714286,True,[],base_csm,True,False
11,0.13,214,15.656997998382383,0.0014285714285714286,True,[],base_csm,True,False
11,0.14,204,26.477598043375345,0.0014285714285714286,True,[],base_csm,True,False
11,0.15,198,20.242951705995207,0.002619047619047619,True,[],base_csm,True,False
11,0.16,199,17.4010901905762,0.002380952380952381,True,[],base_csm,True,False
11,0.17,205,16.06795700969772,0.002380952380952381,True,[],base_csm,True,False
11,0.18,191,25.885277910407257,0.0014285714285714286,True,[],base_csm,True,False
11,0.19,192,18.218433876500367,0.0014285714285714286,True,[],base_csm,True,False
11,0.2,189,15.621424643795594,0.0019047619047619048,True,[],base_csm,True,False
12,0.0025,196,15.084318524382,0.004285714285714286,True,[],base_csm,True,False
12,0.01,194,10.587206063132365,0.0019047619047619048,True,[],base_csm,True,False
12,0.02,201,8.716808334125446,0.002857142857142857,True,[],base_csm,True,False
12,0.03,207,8.741917113044392,0.002857142857142857,True,[],base_csm,True,False
12,0.04,201,9.728049841054816,0.0009523809523809524,True,[],base_csm,True,False
12,0.05,202,7.898714331806448,0.0014285714285714286,True,[],base_csm,True,False
12,0.06,208,8.301401782974068,0.0019047619047619048,True,[],base_csm,True,False
12,0.07,193,15.51334987873066,0.0009523809523809524,True,[],base_csm,True,False
12,0.08,196,16.549547600635247,0.0009523809523809524,True,[],base_csm,True,False
12,0.09,204,21.07917308131821,0.0014285714285714286,True,[],base_csm,True,False
12,0.1,206,15.876014798229422,0.0009523809523809524,True,[],base_csm,True,False
12,0.11,202,18.851307903383027,0.0016666666666666668,True,[],base_csm,True,False
12,0.12,201,30.29690245078961,0.0011904761904761906,True,[],base_csm,True,False
12,0.13,209,22.563751717472794,0.0011904761904761906,True,[],base_csm,True,False
12,0.14,196,36.30450539685565,0.0011904761904761906,True,[],base_csm,True,False
12,0.15,195,25.646173766336087,0.0011904761904761906,True,[],base_csm,True,False
12,0.16,195,23.820041751838776,0.0011904761904761906,True,[],base_csm,True,False
12,0.17,201,29.358115327113765,0.0016666666666666668,True,[],base_csm,True,False
12,0.18,200,32.14513567263065,0.0009523809523809524,True,[],base_csm,True,False
12,0.19,199,17.51719598537648,0.0016666666666666668,True,[],base_csm,True,False
12,0.2,194,20.218580416751934,0.0011904761904761906,True,[],base_csm,True,False
13,0.0025,200,16.035058948354592,0.0016666666666666668,True,[],base_csm,True,False
13,0.01,198,11.45925171656055,0.0007142857142857143,True,[],base_csm,True,False
13,0.02,194,11.054262563475087,0.0019047619047619048,True,[],base_csm,True,False
13,0.03,199,8.153284203459634,0.0035714285714285713,True,[],base_csm,True,False
13,0.04,208,9.791468698601319,0.0038095238095238095,True,[],base_csm,True,False
13,0.05,199,15.601919461932036,0.0033333333333333335,True,[],base_csm,True,False
13,0.06,195,15.696615507051694,0.002380952380952381,True,[],base_csm,True,False
13,0.07,194,19.625184512459025,0.0011904761904761906,True,[],base_csm,True,False
13,0.08,209,11.810169427420979,0.004285714285714286,True,[],base_csm,True,False
13,0.09,191,18.312723896850258,0.0019047619047619048,True,[],base_csm,True,False
13,0.1,205,16.11052652755151,0.0030952380952380953,True,[],base_csm,True,False
13,0.11,199,27.977323914632475,0.002857142857142857,True,[],base_csm,True,False
13,0.12,205,41.79389987385952,0.0014285714285714286,True,[],base_csm,True,False
13,0.13,190,21.586604710168583,0.002857142857142857,True,[],base_csm,True,False
