crediting_cap_rate,crediting_cap_rate_percent,method,risk_metric,source_field,unit,adverse_direction,value,baseline_rate,baseline_value,delta_vs_baseline,finite_difference_scheme,finite_difference_lower_cap_rate,finite_difference_upper_cap_rate,finite_difference_span_bp,finite_difference_change_per_100bp,finite_difference_change_per_100bp_percentage_points,finite_difference_change_per_100bp_as_percent_of_premium,adverse_finite_difference_change_per_100bp,finite_difference_change_as_fraction_of_current_value
0.12,12.0,dynamic,pv_hedge_costs_aud,dynamic_pv_hedge_costs_aud,AUD,higher_is_adverse,208453.77757959758,0.06,136241.2130182698,72212.56456132777,backward_secant,0.06,0.12,600.0,12035.427426887964,,3.571532347083217,12035.427426887964,0.0577366722092252
0.0025,0.25,dynamic,pv_hedge_option_fair_value_costs_aud,dynamic_pv_hedge_option_fair_value_costs_aud,AUD,higher_is_adverse,5024.422613453797,0.06,125580.64816317278,-120556.22554971898,forward_secant,0.0025,0.01,75.0,20599.997720329946,,6.113082286020902,20599.997720329946,4.099973132269914
0.01,1.0,dynamic,pv_hedge_option_fair_value_costs_aud,dynamic_pv_hedge_option_fair_value_costs_aud,AUD,higher_is_adverse,20474.420903701255,0.06,125580.64816317278,-105106.22725947152,bracketing_secant,0.0025,0.06,575.0,20966.300095603303,,6.221783102011822,20966.300095603303,1.0240240832312444
0.06,6.0,dynamic,pv_hedge_option_fair_value_costs_aud,dynamic_pv_hedge_option_fair_value_costs_aud,AUD,higher_is_adverse,125580.64816317278,0.06,125580.64816317278,0.0,bracketing_secant,0.01,0.12,1100.0,15963.579219265714,,4.737217676994073,15963.579219265714,0.12711814640838207
0.12,12.0,dynamic,pv_hedge_option_fair_value_costs_aud,dynamic_pv_hedge_option_fair_value_costs_aud,AUD,higher_is_adverse,196073.7923156241,0.06,125580.64816317278,70493.14415245132,backward_secant,0.06,0.12,600.0,11748.857358741889,,3.4864922208137514,11748.857358741889,0.05992059020223114
0.0025,0.25,dynamic,pv_hedge_option_markup_costs_aud,dynamic_pv_hedge_option_markup_costs_aud,AUD,higher_is_adverse,25.122113067268977,0.06,627.9032408158638,-602.7811277485948,forward_secant,0.0025,0.01,75.0,102.99998860164976,,0.030565411430104526,102.99998860164976,4.099973132269915
0.01,1.0,dynamic,pv_hedge_option_markup_costs_aud,dynamic_pv_hedge_option_markup_costs_aud,AUD,higher_is_adverse,102.37210451850629,0.06,627.9032408158638,-525.5311362973575,bracketing_secant,0.0025,0.06,575.0,104.8315004780165,,0.031108915510059103,104.8315004780165,1.024024083231244
0.06,6.0,dynamic,pv_hedge_option_markup_costs_aud,dynamic_pv_hedge_option_markup_costs_aud,AUD,higher_is_adverse,627.9032408158638,0.06,627.9032408158638,0.0,bracketing_secant,0.01,0.12,1100.0,79.81789609632857,,0.023686088384970366,79.81789609632857,0.1271181464083821
0.12,12.0,dynamic,pv_hedge_option_markup_costs_aud,dynamic_pv_hedge_option_markup_costs_aud,AUD,higher_is_adverse,980.3689615781205,0.06,627.9032408158638,352.46572076225675,backward_secant,0.06,0.12,600.0,58.74428679370946,,0.017432461104068764,58.74428679370946,0.05992059020223116
0.0025,0.25,dynamic,pv_hedge_management_fee_costs_aud,dynamic_pv_hedge_management_fee_costs_aud,AUD,higher_is_adverse,7705.728345404647,0.06,10032.661614281165,-2326.933268876518,forward_secant,0.0025,0.01,75.0,401.7304647611079,,0.11921415823568056,401.7304647611079,0.05213400301097845
